action_id,date_heure,type_action,categorie,anomalie_id,scenario_selectionne,site,produit,gain_principal,economie_usd,co2_evite_kg,temps_reaction_min,norme_iso,mode,operateur
AH-0001,2025-02-12 10:22:36,Rapport ISO auto-généré,Qualité,ANO-0111,SIM-0013-S3,Casablanca Port,Urée,Conformité ISO 9001 PDCA,9837.0,88.1,1.2,ISO 42001,Automatique,Ahmed B.
AH-0002,2024-04-27 15:09:57,Redistribution stock,Stock,ANO-0200,SIM-0005-S3,Khouribga,Sulfate d'ammonium,"−35% CO₂, −18% coût",35119.0,46.4,4.5,ISO 42001,Automatique,Système IA
AH-0003,2024-10-06 22:10:28,Alerte qualité bloquage,Qualité,ANO-0051,SIM-0053-S3,Jorf Lasfar,DAP,"Lot retenu, non-conformité évitée",647.0,86.3,3.2,ISO 9001,Automatique,Karim M.
AH-0004,2024-04-16 01:41:26,Changement fournisseur,Appro.,ANO-0086,SIM-0103-S3,Jorf Lasfar,DAP,Délai normalisé,1365.0,85.7,3.3,ISO 9001,Automatique,Système IA
AH-0005,2024-05-13 08:04:15,Simulation Monte-Carlo,IA,ANO-0042,SIM-0012-S3,Khouribga,Phosphate brut,Scénario optimal sélectionné,24416.0,71.6,0.7,ISO 42001,Human-in-loop,Karim M.
AH-0006,2024-04-20 17:02:45,Simulation Monte-Carlo,IA,ANO-0048,SIM-0016-S3,Khouribga,Acide phosphorique,Scénario optimal sélectionné,14366.0,166.4,4.0,ISO 42001,Automatique,Karim M.
AH-0007,2025-03-18 07:51:57,Reroutage automatique,Logistique,ANO-0043,SIM-0071-S3,Laayoune,MAP,"Délai respecté, −12 kg CO₂",21433.0,6.1,1.7,ISO 14001,Automatique,Ahmed B.
AH-0008,2024-08-22 05:00:29,Changement fournisseur,Appro.,ANO-0076,SIM-0110-S3,Laayoune,TSP,Délai normalisé,8428.0,30.2,3.4,ISO 9001,Automatique,Ahmed B.
AH-0009,2024-07-28 14:53:32,Changement fournisseur,Appro.,ANO-0194,SIM-0011-S3,Youssoufia,DAP,Délai normalisé,26334.0,58.4,4.2,ISO 42001,Human-in-loop,Karim M.
AH-0010,2024-01-18 13:22:05,Alerte qualité bloquage,Qualité,ANO-0054,SIM-0087-S3,Youssoufia,Urée,"Lot retenu, non-conformité évitée",28942.0,66.8,0.9,ISO 14001,Automatique,Système IA
AH-0011,2024-08-21 02:25:03,Simulation Monte-Carlo,IA,ANO-0185,SIM-0072-S3,Khouribga,TSP,Scénario optimal sélectionné,12312.0,65.4,3.6,ISO 45001,Automatique,Système IA
AH-0012,2024-03-23 03:40:17,Commande anticipée,Stock,ANO-0028,SIM-0074-S3,Casablanca Port,MAP,"Rupture évitée, +8% service",14521.0,167.8,3.1,ISO 9001,Automatique,Karim M.
AH-0013,2024-11-10 06:21:15,Réaffectation véhicule,Logistique,ANO-0194,SIM-0090-S3,Benguerir,Urée,Livraison maintenue à temps,11637.0,102.3,4.1,ISO 42001,Automatique,Karim M.
AH-0014,2024-02-15 15:52:37,Rapport ISO auto-généré,Qualité,ANO-0003,SIM-0065-S3,Jorf Lasfar,Acide phosphorique,Conformité ISO 9001 PDCA,14176.0,50.3,2.8,ISO 14001,Automatique,Système IA
AH-0015,2025-03-14 12:04:12,Reroutage automatique,Logistique,ANO-0029,SIM-0074-S3,Khouribga,NPS,"Délai respecté, −12 kg CO₂",13263.0,153.1,1.1,ISO 42001,Automatique,Système IA
AH-0016,2025-03-19 17:26:32,Rapport ISO auto-généré,Qualité,ANO-0189,SIM-0093-S3,Laayoune,Phosphate brut,Conformité ISO 9001 PDCA,17808.0,173.3,3.3,ISO 14001,Automatique,Ahmed B.
AH-0017,2025-02-23 16:31:36,Alerte SST déclenchée,Sécurité,ANO-0069,SIM-0066-S3,Safi,Acide phosphorique,"Incident évité, ISO 45001",20317.0,171.4,2.8,ISO 9001,Automatique,Système IA
AH-0018,2024-09-04 10:24:35,Rapport ISO auto-généré,Qualité,ANO-0071,SIM-0056-S3,Youssoufia,TSP,Conformité ISO 9001 PDCA,32206.0,6.7,0.8,ISO 14001,Automatique,Karim M.
AH-0019,2024-01-12 07:08:06,Commande anticipée,Stock,ANO-0092,SIM-0116-S3,Benguerir,DAP,"Rupture évitée, +8% service",39563.0,138.2,0.5,ISO 9001,Automatique,Système IA
AH-0020,2024-07-12 03:29:07,Rapport ISO auto-généré,Qualité,ANO-0075,SIM-0096-S3,Casablanca Port,Urée,Conformité ISO 9001 PDCA,20514.0,108.9,3.3,ISO 9001,Automatique,Système IA
AH-0021,2024-03-10 21:22:22,Alerte qualité bloquage,Qualité,ANO-0032,SIM-0033-S3,Khouribga,Urée,"Lot retenu, non-conformité évitée",35965.0,9.0,4.8,ISO 9001,Automatique,Ahmed B.
AH-0022,2024-04-17 20:36:26,Changement fournisseur,Appro.,ANO-0176,SIM-0064-S3,Youssoufia,NPS,Délai normalisé,33449.0,106.8,2.9,ISO 42001,Automatique,Système IA
AH-0023,2024-10-28 12:39:28,Redistribution stock,Stock,ANO-0003,SIM-0070-S3,Laayoune,Sulfate d'ammonium,"−35% CO₂, −18% coût",13649.0,178.1,4.8,ISO 42001,Automatique,Fatima Z.
AH-0024,2024-07-09 06:05:03,Rapport ISO auto-généré,Qualité,ANO-0011,SIM-0007-S3,Khouribga,Acide phosphorique,Conformité ISO 9001 PDCA,30857.0,48.6,1.0,ISO 9001,Automatique,Ahmed B.
AH-0025,2024-03-05 01:34:28,Simulation Monte-Carlo,IA,ANO-0025,SIM-0067-S3,Khouribga,Sulfate d'ammonium,Scénario optimal sélectionné,4343.0,110.7,3.4,ISO 45001,Automatique,Ahmed B.
AH-0026,2024-08-28 01:02:00,Alerte qualité bloquage,Qualité,ANO-0039,SIM-0003-S3,Youssoufia,Acide phosphorique,"Lot retenu, non-conformité évitée",36260.0,121.3,0.8,ISO 14001,Automatique,Ahmed B.
AH-0027,2024-11-16 16:30:34,Alerte SST déclenchée,Sécurité,ANO-0106,SIM-0004-S3,Safi,Sulfate d'ammonium,"Incident évité, ISO 45001",17003.0,105.6,3.2,ISO 45001,Automatique,Fatima Z.
AH-0028,2024-12-01 11:59:26,Rapport ISO auto-généré,Qualité,ANO-0114,SIM-0019-S3,Casablanca Port,DAP,Conformité ISO 9001 PDCA,4478.0,101.3,1.7,ISO 9001,Automatique,Système IA
AH-0029,2025-01-28 19:05:00,Reroutage automatique,Logistique,ANO-0039,SIM-0118-S3,Youssoufia,Phosphate brut,"Délai respecté, −12 kg CO₂",23198.0,109.4,4.0,ISO 9001,Automatique,Karim M.
