anomalie_id,date_detection,type_anomalie,categorie,severite,site,produit,description,score_isolation_forest,statut,date_resolution,action_declenchee,impact_usd
ANO-0001,2025-02-07 20:21,Rupture stock imminente,Stock,critique,Youssoufia,TSP,Rupture stock imminente détecté sur site Youssoufia,-0.6618,Résolu,2025-02-08 03:48,Auto-heal exécuté,3801.0
ANO-0002,2024-05-12 14:29,Écart qualité produit,Qualité,critique,Safi,NPS,Écart qualité produit détecté sur site Safi,-0.7021,Résolu,2024-05-12 21:58,Intervention humaine,34250.0
ANO-0003,2024-12-04 05:55,Défaillance équipement,Maintenance,critique,Khouribga,Acide phosphorique,Défaillance équipement détecté sur site Khouribga,-0.4343,Actif,,Simulation lancée,48142.0
ANO-0004,2024-08-13 09:39,Seuil CO₂ dépassé,Environnement,modéré,Youssoufia,Phosphate brut,Seuil CO₂ dépassé détecté sur site Youssoufia,-0.238,Résolu,2024-08-13 15:46,Simulation lancée,44388.0
ANO-0005,2024-12-25 12:42,Défaillance équipement,Maintenance,critique,Safi,Sulfate d'ammonium,Défaillance équipement détecté sur site Safi,-0.151,Résolu,2024-12-25 18:52,Alerte envoyée,14378.0
ANO-0006,2025-01-03 01:35,Retard douanier,Logistique,faible,Laayoune,Urée,Retard douanier détecté sur site Laayoune,-0.6745,Résolu,2025-01-03 05:37,Auto-heal exécuté,84435.0
ANO-0007,2024-05-25 18:30,Rupture stock imminente,Stock,critique,Benguerir,MAP,Rupture stock imminente détecté sur site Benguerir,-0.4236,Résolu,2024-05-25 21:21,Auto-heal exécuté,5664.0
ANO-0008,2024-05-01 12:29,Surcharge conducteur,SST,critique,Jorf Lasfar,Phosphate brut,Surcharge conducteur détecté sur site Jorf Lasfar,-0.5585,Résolu,2024-05-01 12:38,Alerte envoyée,23702.0
ANO-0009,2024-08-25 11:35,Écart qualité produit,Qualité,critique,Jorf Lasfar,Urée,Écart qualité produit détecté sur site Jorf Lasfar,-0.146,Résolu,2024-08-25 16:24,Alerte envoyée,7047.0
ANO-0010,2024-06-17 02:45,Seuil CO₂ dépassé,Environnement,modéré,Khouribga,Acide phosphorique,Seuil CO₂ dépassé détecté sur site Khouribga,-0.4054,Résolu,2024-06-17 03:51,Intervention humaine,28399.0
