commande_id,date_commande,produit,categorie,quantite_t,prix_unitaire_usd,montant_total_usd,client_id,client_nom,pays_client,priorite_client,site_origine,date_livraison_prevue,statut,retard_jours,fournisseur_id
CMD-0001,2024-03-20 14:38,MAP,Engrais,1411.4,563.87,795847.66,C001,OCP Export EU,France,A,Casablanca Port,2024-04-09,Livrée,0,F004
CMD-0002,2024-01-21 14:39,DAP,Engrais,1132.3,620.53,702627.53,C001,OCP Export EU,France,A,Khouribga,2024-02-03,En cours,0,F005
CMD-0003,2024-01-06 01:08,Urée,Engrais,2966.9,398.81,1183239.39,C004,Bunge Brasil,Brésil,B,Safi,2024-01-21,En cours,0,F003
CMD-0004,2024-03-13 00:54,Acide phosphorique,Chimique,4788.2,827.78,3963561.15,C003,Fertil India Ltd,Inde,B,Youssoufia,2024-03-24,Livrée,0,F003
CMD-0005,2024-10-21 00:23,Acide phosphorique,Chimique,2324.2,798.98,1856980.85,C001,OCP Export EU,France,A,Casablanca Port,2024-11-03,Livrée,0,F005
CMD-0006,2024-08-12 18:34,Sulfate d'ammonium,Engrais,394.3,215.42,84939.49,C004,Bunge Brasil,Brésil,B,Casablanca Port,2024-08-17,En attente,0,F004
CMD-0007,2024-10-02 22:43,Acide phosphorique,Chimique,4178.8,804.12,3360260.66,C008,Pakistan Fertilizer,Pakistan,C,Casablanca Port,2024-10-19,Livrée,0,F001
CMD-0008,2025-03-08 14:17,TSP,Engrais,2338.2,462.33,1081024.67,C004,Bunge Brasil,Brésil,B,Youssoufia,2025-03-22,Livrée,0,F001
CMD-0009,2024-06-12 21:00,Phosphate brut,Minerai,1611.5,115.54,186193.72,C001,OCP Export EU,France,A,Laayoune,2024-07-05,Retardée,7,F003
CMD-0010,2024-04-20 23:19,Phosphate brut,Minerai,4429.2,122.74,543652.21,C008,Pakistan Fertilizer,Pakistan,C,Safi,2024-04-26,Livrée,0,F005
CMD-0011,2024-04-17 10:41,Acide phosphorique,Chimique,2027.0,811.83,1645574.59,C007,OCP Kenya,Kenya,A,Jorf Lasfar,2024-05-06,Livrée,0,F001
CMD-0012,2024-02-19 08:14,MAP,Engrais,841.9,607.04,511064.81,C003,Fertil India Ltd,Inde,B,Casablanca Port,2024-03-04,En cours,0,F004
CMD-0013,2025-02-21 01:51,Acide phosphorique,Chimique,3617.6,874.71,3164360.34,C001,OCP Export EU,France,A,Casablanca Port,2025-03-13,En attente,0,F003
CMD-0014,2024-07-23 13:55,MAP,Engrais,832.9,543.11,452353.29,C005,Amajour Agri,Maroc,A,Safi,2024-08-04,Livrée,0,F001
CMD-0015,2025-02-15 22:30,Acide phosphorique,Chimique,1900.9,803.97,1528267.84,C004,Bunge Brasil,Brésil,B,Youssoufia,2025-03-05,En cours,0,F004
CMD-0016,2024-08-26 20:28,DAP,Engrais,4399.7,652.9,2872569.5,C002,AgriMaroc Sud,Maroc,A,Benguerir,2024-08-31,Livrée,0,F005
CMD-0017,2025-02-17 18:21,MAP,Engrais,2455.7,549.33,1348998.67,C002,AgriMaroc Sud,Maroc,A,Casablanca Port,2025-03-05,Livrée,0,F004
CMD-0018,2024-06-13 12:12,TSP,Engrais,4368.5,474.1,2071092.72,C005,Amajour Agri,Maroc,A,Jorf Lasfar,2024-07-06,En attente,0,F002
CMD-0019,2025-02-06 00:18,Acide phosphorique,Chimique,3266.9,841.58,2749362.97,C007,OCP Kenya,Kenya,A,Casablanca Port,2025-02-18,Livrée,0,F001
CMD-0020,2024-01-06 14:02,Sulfate d'ammonium,Engrais,2791.9,212.97,594595.38,C001,OCP Export EU,France,A,Jorf Lasfar,2024-01-18,Livrée,0,F001
CMD-0021,2025-01-12 00:46,DAP,Engrais,2595.1,598.02,1551934.53,C006,Yara West Africa,Sénégal,B,Khouribga,2025-01-25,Livrée,0,F005
CMD-0022,2024-03-14 06:21,NPS,Engrais,2391.2,502.42,1201377.36,C004,Bunge Brasil,Brésil,B,Laayoune,2024-03-27,Livrée,0,F004
CMD-0023,2024-03-17 10:38,Urée,Engrais,3658.9,390.54,1428948.87,C008,Pakistan Fertilizer,Pakistan,C,Laayoune,2024-03-24,En cours,0,F001
CMD-0024,2024-05-22 12:27,Phosphate brut,Minerai,2704.6,113.09,305867.27,C004,Bunge Brasil,Brésil,B,Youssoufia,2024-06-02,Livrée,0,F001
CMD-0025,2024-01-12 11:06,NPS,Engrais,3278.1,513.31,1682687.99,C002,AgriMaroc Sud,Maroc,A,Khouribga,2024-01-18,Livrée,0,F004
CMD-0026,2024-10-21 08:34,NPS,Engrais,2035.1,473.98,964606.16,C004,Bunge Brasil,Brésil,B,Laayoune,2024-10-29,Livrée,0,F004
CMD-0027,2025-03-07 16:16,Acide phosphorique,Chimique,4788.7,917.38,4393045.57,C007,OCP Kenya,Kenya,A,Casablanca Port,2025-03-28,Livrée,0,F003
CMD-0028,2024-08-31 14:01,Phosphate brut,Minerai,3691.9,111.57,411906.71,C001,OCP Export EU,France,A,Jorf Lasfar,2024-08-31,En cours,0,F005
CMD-0029,2024-02-22 18:52,TSP,Engrais,446.6,455.87,203592.15,C001,OCP Export EU,France,A,Jorf Lasfar,2024-03-07,Livrée,0,F005
CMD-0030,2025-03-15 00:35,Phosphate brut,Minerai,455.8,123.02,56073.23,C001,OCP Export EU,France,A,Jorf Lasfar,2025-03-28,Retardée,3,F002
CMD-0031,2024-08-21 00:21,Sulfate d'ammonium,Engrais,2009.1,215.77,433501.08,C004,Bunge Brasil,Brésil,B,Benguerir,2024-09-03,Retardée,3,F001
CMD-0032,2024-02-26 21:40,DAP,Engrais,4992.3,669.21,3340910.9,C008,Pakistan Fertilizer,Pakistan,C,Jorf Lasfar,2024-03-10,Livrée,0,F002
CMD-0033,2025-02-25 22:19,Sulfate d'ammonium,Engrais,1879.2,198.5,373021.75,C002,AgriMaroc Sud,Maroc,A,Youssoufia,2025-03-13,En cours,0,F005
CMD-0034,2024-07-24 10:00,DAP,Engrais,562.8,657.51,370046.74,C005,Amajour Agri,Maroc,A,Casablanca Port,2024-07-28,En cours,0,F002
CMD-0035,2024-07-24 01:00,Acide phosphorique,Chimique,1092.6,828.63,905363.02,C005,Amajour Agri,Maroc,A,Jorf Lasfar,2024-08-12,Livrée,0,F001
CMD-0036,2024-04-11 14:39,MAP,Engrais,1419.6,543.13,771034.04,C007,OCP Kenya,Kenya,A,Laayoune,2024-04-27,Livrée,0,F004
CMD-0037,2024-04-25 18:34,Urée,Engrais,422.5,403.29,170391.24,C001,OCP Export EU,France,A,Khouribga,2024-05-04,En attente,0,F005
CMD-0038,2024-01-31 23:41,TSP,Engrais,257.1,469.61,120735.51,C007,OCP Kenya,Kenya,A,Youssoufia,2024-02-20,Livrée,0,F002
CMD-0039,2024-04-30 01:04,MAP,Engrais,2821.4,625.37,1764427.05,C006,Yara West Africa,Sénégal,B,Laayoune,2024-05-19,En attente,0,F002
CMD-0040,2024-11-15 18:53,Urée,Engrais,3696.0,369.8,1366769.26,C001,OCP Export EU,France,A,Youssoufia,2024-12-08,En attente,0,F002
CMD-0041,2024-01-31 01:52,Acide phosphorique,Chimique,3521.3,834.03,2936854.61,C003,Fertil India Ltd,Inde,B,Laayoune,2024-02-24,Livrée,0,F004
CMD-0042,2024-01-19 09:08,Sulfate d'ammonium,Engrais,3987.0,200.85,800777.82,C005,Amajour Agri,Maroc,A,Laayoune,2024-02-02,Livrée,0,F003
