stock_id,site,produit,categorie,stock_actuel_t,stock_min_t,stock_max_t,taux_remplissage,statut_stock,valeur_usd,derniere_maj,capacite_entrepot_t,lat,lon
STK-KHO-DAP,Khouribga,DAP,Engrais,4444.5,937.5,5937.5,0.749,Normal,2755590.0,2025-03-30 18:30,50000,32.88,-6.9
STK-KHO-MAP,Khouribga,MAP,Engrais,804.5,937.5,5937.5,0.135,Rupture imminente,474655.0,2025-03-29 12:50,50000,32.88,-6.9
STK-KHO-TSP,Khouribga,TSP,Engrais,445.0,937.5,5937.5,0.075,Rupture imminente,213600.0,2025-03-29 11:08,50000,32.88,-6.9
STK-KHO-PHO,Khouribga,Phosphate brut,Minerai,5120.1,937.5,5937.5,0.862,Surstock,614412.0,2025-03-28 11:13,50000,32.88,-6.9
STK-KHO-ACI,Khouribga,Acide phosphorique,Chimique,1323.0,937.5,5937.5,0.223,Stock bas,1124550.0,2025-03-30 19:15,50000,32.88,-6.9
STK-KHO-SUL,Khouribga,Sulfate d'ammonium,Engrais,2880.9,937.5,5937.5,0.485,Normal,604989.0,2025-03-30 15:38,50000,32.88,-6.9
STK-KHO-URÉ,Khouribga,Urée,Engrais,3094.3,937.5,5937.5,0.521,Normal,1175834.0,2025-03-30 08:28,50000,32.88,-6.9
STK-KHO-NPS,Khouribga,NPS,Engrais,2051.5,937.5,5937.5,0.346,Normal,1046265.0,2025-03-30 08:01,50000,32.88,-6.9
STK-YOU-DAP,Youssoufia,DAP,Engrais,2966.4,562.5,3562.5,0.833,Normal,1839168.0,2025-03-30 11:51,30000,32.25,-8.53
STK-YOU-MAP,Youssoufia,MAP,Engrais,3318.5,562.5,3562.5,0.932,Surstock,1957915.0,2025-03-29 13:35,30000,32.25,-8.53
STK-YOU-TSP,Youssoufia,TSP,Engrais,2344.5,562.5,3562.5,0.658,Normal,1125360.0,2025-03-28 09:39,30000,32.25,-8.53
STK-YOU-PHO,Youssoufia,Phosphate brut,Minerai,841.5,562.5,3562.5,0.236,Stock bas,100980.0,2025-03-28 02:39,30000,32.25,-8.53
STK-YOU-ACI,Youssoufia,Acide phosphorique,Chimique,1651.7,562.5,3562.5,0.464,Normal,1403945.0,2025-03-30 03:58,30000,32.25,-8.53
STK-YOU-SUL,Youssoufia,Sulfate d'ammonium,Engrais,2944.1,562.5,3562.5,0.826,Normal,618261.0,2025-03-28 08:26,30000,32.25,-8.53
STK-YOU-URÉ,Youssoufia,Urée,Engrais,200.6,562.5,3562.5,0.056,Rupture imminente,76228.0,2025-03-30 19:53,30000,32.25,-8.53
STK-YOU-NPS,Youssoufia,NPS,Engrais,327.8,562.5,3562.5,0.092,Rupture imminente,167178.0,2025-03-30 13:45,30000,32.25,-8.53
STK-BEN-DAP,Benguerir,DAP,Engrais,2428.8,656.2,4156.2,0.584,Normal,1505856.0,2025-03-28 06:20,35000,32.23,-7.95
STK-BEN-MAP,Benguerir,MAP,Engrais,1458.2,656.2,4156.2,0.351,Normal,860338.0,2025-03-30 16:44,35000,32.23,-7.95
STK-BEN-TSP,Benguerir,TSP,Engrais,390.3,656.2,4156.2,0.094,Rupture imminente,187344.0,2025-03-29 13:54,35000,32.23,-7.95
STK-BEN-PHO,Benguerir,Phosphate brut,Minerai,3068.0,656.2,4156.2,0.738,Normal,368160.0,2025-03-30 06:17,35000,32.23,-7.95
