livraison_id,commande_id,origine,destination,transporteur_id,transporteur_nom,mode_transport,distance_km,masse_t,date_depart,date_arrivee_prevue,retard_heures,statut,co2_kg,cout_transport_usd,produit,otif
LIV-0001,CMD-0031,Youssoufia,Benguerir,T002,ONCF Fret,Rail,711,143.9,2024-05-22 09:56,2024-05-22 19:50,2.8,Livré,2250.88,1249.94,MAP,0
LIV-0002,CMD-0334,Safi,Khouribga,T003,Atlas Trucks,Route,155,241.4,2024-09-27 18:39,2024-09-27 20:57,0.9,Planifié,3592.03,405.22,MAP,0
LIV-0003,CMD-0442,Laayoune,Benguerir,T005,OCP Maritime,Maritime,552,212.4,2024-07-08 06:43,2024-07-08 15:13,0.0,Planifié,937.96,1474.56,Urée,0
LIV-0004,CMD-0334,Jorf Lasfar,Benguerir,T005,OCP Maritime,Maritime,110,133.4,2024-03-01 12:03,2024-03-01 13:33,0.0,En transit,117.39,210.88,MAP,0
LIV-0005,CMD-0063,Laayoune,Safi,T002,ONCF Fret,Rail,395,478.8,2024-03-25 11:08,2024-03-25 16:44,0.0,En transit,4160.77,1910.39,MAP,0
LIV-0006,CMD-0211,Youssoufia,Benguerir,T005,OCP Maritime,Maritime,853,325.3,2024-04-23 23:09,2024-04-24 11:21,0.0,Livré,2219.85,2664.18,Sulfate d'ammonium,1
LIV-0007,CMD-0302,Benguerir,Casablanca Port,T006,Marsa Maroc,Maritime,391,460.9,2024-09-24 09:33,2024-09-24 14:09,0.0,Planifié,1261.48,2945.4,DAP,0
LIV-0008,CMD-0326,Benguerir,Casablanca Port,T001,OCP Rail,Rail,80,357.6,2024-10-06 00:48,2024-10-06 02:36,0.0,En transit,715.2,443.69,Urée,0
LIV-0009,CMD-0129,Safi,Jorf Lasfar,T004,Sahara Trans,Route,75,121.4,2024-04-18 00:25,2024-04-18 01:55,1.8,Livré,946.92,98.78,TSP,0
LIV-0010,CMD-0436,Khouribga,Youssoufia,T006,Marsa Maroc,Maritime,96,89.1,2024-12-05 05:19,2024-12-05 06:25,1.0,Planifié,59.88,136.61,TSP,0
LIV-0011,CMD-0514,Safi,Casablanca Port,T004,Sahara Trans,Route,645,413.6,2024-06-24 08:06,2024-06-24 21:24,2.6,Livré,27744.29,3299.96,Acide phosphorique,0
LIV-0012,CMD-0540,Safi,Casablanca Port,T005,OCP Maritime,Maritime,455,36.1,2025-01-10 08:46,2025-01-10 15:04,0.9,Livré,131.4,162.16,Acide phosphorique,0
LIV-0013,CMD-0594,Safi,Casablanca Port,T001,OCP Rail,Rail,615,447.2,2025-01-01 23:08,2025-01-02 08:08,2.8,Livré,6875.7,2815.41,Acide phosphorique,0
LIV-0014,CMD-0302,Jorf Lasfar,Khouribga,T003,Atlas Trucks,Route,180,393.7,2025-02-02 04:43,2025-02-02 06:55,0.0,Incident,6803.14,919.55,Acide phosphorique,0
LIV-0015,CMD-0299,Youssoufia,Khouribga,T006,Marsa Maroc,Maritime,691,379.7,2025-03-13 20:14,2025-03-14 09:38,0.0,En transit,1836.61,3892.09,DAP,0
LIV-0016,CMD-0179,Benguerir,Jorf Lasfar,T001,OCP Rail,Rail,110,262.7,2024-08-03 19:28,2024-08-03 21:34,0.0,En transit,722.42,454.56,TSP,0
LIV-0017,CMD-0149,Casablanca Port,Safi,T003,Atlas Trucks,Route,907,104.2,2024-07-02 11:00,2024-07-03 01:42,0.0,Livré,9072.9,1439.78,TSP,1
LIV-0018,CMD-0119,Laayoune,Safi,T004,Sahara Trans,Route,868,203.9,2024-05-09 22:23,2024-05-10 15:53,0.0,Planifié,18406.46,2540.94,DAP,0
LIV-0019,CMD-0446,Youssoufia,Jorf Lasfar,T004,Sahara Trans,Route,90,164.7,2025-02-17 14:54,2025-02-17 16:42,0.0,Livré,1541.59,221.93,DAP,1
LIV-0020,CMD-0280,Benguerir,Jorf Lasfar,T004,Sahara Trans,Route,110,171.5,2024-02-01 20:37,2024-02-01 23:07,2.4,En transit,1961.96,253.13,Sulfate d'ammonium,0
