co2_id,date,site_depart,site_arrivee,mode_transport,distance_km,masse_t,co2_kg,co2_kg_baseline,reduction_pct,fe_kg_co2_t_km,conforme_iso14001,produit
CO2-0001,2024-02-18,Khouribga,Laayoune,Route,430,275.7,12329.3,15880.85,22.4,0.104,True,Acide phosphorique
CO2-0002,2024-09-08,Benguerir,Safi,Maritime,95,129.4,98.34,149.23,34.1,0.008,True,Phosphate brut
CO2-0003,2024-11-15,Benguerir,Safi,Rail,95,180.8,377.87,490.28,22.9,0.022,True,Urée
CO2-0004,2024-04-18,Casablanca Port,Laayoune,Rail,900,314.3,6223.14,9215.14,32.5,0.022,True,Acide phosphorique
CO2-0005,2025-03-05,Youssoufia,Laayoune,Maritime,450,362.1,1140.62,1496.95,23.8,0.007,True,NPS
CO2-0006,2024-08-14,Jorf Lasfar,Casablanca Port,Rail,95,367.8,768.7,1094.25,29.8,0.022,True,Phosphate brut
CO2-0007,2025-01-20,Jorf Lasfar,Laayoune,Route,820,445.9,35101.25,46728.52,24.9,0.096,True,Urée
CO2-0008,2024-09-22,Safi,Laayoune,Route,661,240.4,15254.82,19087.12,20.1,0.096,True,MAP
CO2-0009,2024-11-01,Benguerir,Khouribga,Route,80,284.3,2365.38,2841.16,16.7,0.104,True,Phosphate brut
CO2-0010,2025-03-03,Laayoune,Benguerir,Route,545,468.7,26565.92,37305.31,28.8,0.104,True,Acide phosphorique
CO2-0011,2024-11-28,Jorf Lasfar,Casablanca Port,Route,95,147.5,1457.3,2069.13,29.6,0.104,True,NPS
CO2-0012,2024-04-02,Jorf Lasfar,Khouribga,Route,180,205.7,3850.7,4809.16,19.9,0.104,True,MAP
CO2-0013,2024-03-24,Benguerir,Khouribga,Rail,80,53.7,107.4,149.5,28.2,0.025,True,Acide phosphorique
CO2-0014,2024-02-01,Youssoufia,Khouribga,Maritime,783,223.2,1223.36,1849.67,33.9,0.007,True,DAP
CO2-0015,2024-08-08,Khouribga,Youssoufia,Route,719,365.4,25221.37,34059.72,25.9,0.096,True,Phosphate brut
CO2-0016,2025-03-05,Youssoufia,Casablanca Port,Maritime,664,380.8,2022.81,2677.68,24.5,0.008,True,Phosphate brut
CO2-0017,2024-06-19,Youssoufia,Khouribga,Maritime,678,172.0,932.93,1175.63,20.6,0.008,True,Urée
CO2-0018,2024-03-11,Youssoufia,Casablanca Port,Maritime,97,478.1,371.01,519.39,28.6,0.008,True,Acide phosphorique
CO2-0019,2024-11-11,Laayoune,Safi,Rail,177,138.2,611.53,781.13,21.7,0.025,True,NPS
CO2-0020,2024-01-03,Jorf Lasfar,Youssoufia,Rail,90,154.1,305.12,391.64,22.1,0.022,True,Acide phosphorique
CO2-0021,2024-06-14,Safi,Casablanca Port,Maritime,949,205.6,1560.92,1999.95,22.0,0.008,True,MAP
CO2-0022,2024-10-25,Safi,Laayoune,Route,533,92.2,5110.83,7654.52,33.2,0.104,True,Urée
CO2-0023,2025-01-16,Khouribga,Casablanca Port,Route,120,443.3,5106.82,6908.65,26.1,0.096,True,Sulfate d'ammonium
CO2-0024,2024-12-09,Benguerir,Khouribga,Route,80,315.5,2624.96,3707.21,29.2,0.104,True,Sulfate d'ammonium
CO2-0025,2024-10-20,Youssoufia,Laayoune,Rail,695,421.7,7327.04,9224.26,20.6,0.025,True,Urée
CO2-0026,2024-07-12,Youssoufia,Benguerir,Route,441,214.4,9076.84,13163.48,31.0,0.096,True,Phosphate brut
CO2-0027,2025-03-13,Safi,Casablanca Port,Route,104,349.5,3780.19,4859.15,22.2,0.104,True,MAP
CO2-0028,2024-10-06,Safi,Laayoune,Rail,478,294.4,3518.08,4690.8,25.0,0.025,True,NPS
CO2-0029,2024-07-17,Safi,Laayoune,Route,514,62.9,3362.38,4444.66,24.4,0.104,True,Acide phosphorique
CO2-0030,2025-03-30,Benguerir,Safi,Route,95,100.9,996.89,1421.32,29.9,0.104,True,Phosphate brut
CO2-0031,2024-06-26,Laayoune,Khouribga,Route,453,43.0,2025.82,2494.78,18.8,0.104,True,TSP
CO2-0032,2024-03-02,Khouribga,Casablanca Port,Maritime,120,44.0,36.96,51.15,27.7,0.007,True,Acide phosphorique
CO2-0033,2024-08-04,Safi,Youssoufia,Route,60,432.1,2488.9,3745.43,33.5,0.096,True,TSP
CO2-0034,2024-06-29,Youssoufia,Jorf Lasfar,Route,90,269.8,2331.07,3508.57,33.6,0.096,True,DAP
CO2-0035,2024-12-31,Jorf Lasfar,Laayoune,Maritime,820,158.4,909.22,1390.84,34.6,0.007,True,TSP
CO2-0036,2024-02-22,Youssoufia,Khouribga,Rail,697,362.0,5550.91,8162.57,32.0,0.022,True,Acide phosphorique
CO2-0037,2025-03-05,Laayoune,Youssoufia,Maritime,207,393.9,652.3,956.47,31.8,0.008,True,TSP
CO2-0038,2024-09-09,Youssoufia,Casablanca Port,Rail,331,397.7,2896.05,4342.32,33.3,0.022,True,Acide phosphorique
CO2-0039,2024-11-01,Jorf Lasfar,Khouribga,Maritime,180,449.5,647.28,807.31,19.8,0.008,True,DAP
CO2-0040,2024-10-12,Safi,Youssoufia,Rail,60,433.6,572.35,801.78,28.6,0.022,True,Acide phosphorique
CO2-0041,2024-07-11,Safi,Youssoufia,Route,60,360.9,2252.02,2830.18,20.4,0.104,True,DAP
CO2-0042,2025-02-14,Khouribga,Jorf Lasfar,Rail,180,157.9,625.28,925.16,32.4,0.022,True,Urée
CO2-0043,2024-12-28,Jorf Lasfar,Casablanca Port,Maritime,95,446.6,296.99,456.4,34.9,0.007,True,Sulfate d'ammonium
CO2-0044,2024-11-10,Laayoune,Jorf Lasfar,Maritime,820,422.1,2768.98,4051.21,31.7,0.008,True,Urée
CO2-0045,2024-06-09,Youssoufia,Casablanca Port,Route,209,406.3,8831.34,10824.54,18.4,0.104,True,Sulfate d'ammonium
CO2-0046,2024-10-24,Laayoune,Benguerir,Rail,698,454.0,7922.3,10549.18,24.9,0.025,True,Sulfate d'ammonium
CO2-0047,2024-06-16,Khouribga,Safi,Route,155,380.1,6127.21,8286.67,26.1,0.104,True,TSP
CO2-0048,2024-08-22,Safi,Casablanca Port,Maritime,223,331.6,517.63,692.96,25.3,0.007,True,TSP
CO2-0049,2024-12-28,Khouribga,Benguerir,Route,80,253.7,2110.78,3059.6,31.0,0.104,True,Sulfate d'ammonium
CO2-0050,2024-07-09,Youssoufia,Jorf Lasfar,Rail,90,480.6,951.59,1457.55,34.7,0.022,True,MAP
CO2-0051,2024-10-27,Benguerir,Safi,Rail,95,243.2,577.6,872.45,33.8,0.025,True,Urée
CO2-0052,2025-03-04,Khouribga,Casablanca Port,Route,120,414.1,4770.43,6521.12,26.8,0.096,True,NPS
CO2-0053,2025-01-28,Khouribga,Safi,Route,155,169.0,2514.72,3163.72,20.5,0.096,True,MAP
CO2-0054,2024-01-20,Youssoufia,Laayoune,Maritime,655,149.4,685.0,944.15,27.4,0.007,True,Sulfate d'ammonium
CO2-0055,2024-12-23,Khouribga,Jorf Lasfar,Route,180,403.3,7549.78,9976.46,24.3,0.104,True,Sulfate d'ammonium
CO2-0056,2024-04-05,Benguerir,Safi,Rail,95,268.2,636.98,961.35,33.7,0.025,True,NPS
CO2-0057,2025-03-15,Safi,Casablanca Port,Rail,762,394.1,7507.61,10338.59,27.4,0.025,True,TSP
CO2-0058,2024-07-26,Laayoune,Safi,Route,756,362.9,26337.83,32932.38,20.0,0.096,True,Phosphate brut
CO2-0059,2024-02-02,Khouribga,Casablanca Port,Route,120,209.3,2612.06,3174.71,17.7,0.104,True,DAP
CO2-0060,2024-04-27,Youssoufia,Benguerir,Route,662,113.0,7779.82,10498.24,25.9,0.104,True,Acide phosphorique
CO2-0061,2024-07-25,Youssoufia,Khouribga,Rail,247,432.2,2668.84,3881.92,31.2,0.025,True,MAP
CO2-0062,2024-03-03,Youssoufia,Jorf Lasfar,Rail,90,256.9,508.66,729.57,30.3,0.022,True,Sulfate d'ammonium
CO2-0063,2024-07-19,Jorf Lasfar,Laayoune,Route,820,478.7,37683.26,52830.62,28.7,0.096,True,Sulfate d'ammonium
