sim_id,evenement_id,anomalie_id,date_simulation,site,scenario,delta_delai_h,delta_cout_pct,delta_co2_pct,score_perf,score_co2,score_global,selectionne,alpha,beta,gamma
SIM-0001-S1,1,ANO-0067,2024-10-27 16:08,Casablanca Port,S1 — Attendre,4.83,4.8,26.1,0.1955,-0.2607,0.2255,False,0.4,0.35,0.25
SIM-0001-S2,1,ANO-0067,2024-10-27 16:08,Casablanca Port,S2 — Fournisseur alternatif,-0.47,15.6,3.0,1.0788,-0.03,0.6374,False,0.4,0.35,0.25
SIM-0001-S3,1,ANO-0067,2024-10-27 16:08,Casablanca Port,S3 — Redistribution stock,-0.13,-16.8,-34.6,1.021,0.3464,0.8301,True,0.4,0.35,0.25
SIM-0002-S1,2,ANO-0180,2024-04-14 11:07,Benguerir,S1 — Attendre,2.99,0.4,12.6,0.5021,-0.1258,0.4059,False,0.4,0.35,0.25
SIM-0002-S2,2,ANO-0180,2024-04-14 11:07,Benguerir,S2 — Fournisseur alternatif,0.96,21.8,-4.9,0.8397,0.0485,0.5582,False,0.4,0.35,0.25
SIM-0002-S3,2,ANO-0180,2024-04-14 11:07,Benguerir,S3 — Redistribution stock,-1.05,-16.9,-27.9,1.1748,0.2789,0.8682,True,0.4,0.35,0.25
SIM-0003-S1,3,ANO-0090,2024-06-25 22:57,Casablanca Port,S1 — Attendre,4.87,1.4,21.1,0.1883,-0.2108,0.248,False,0.4,0.35,0.25
SIM-0003-S2,3,ANO-0090,2024-06-25 22:57,Casablanca Port,S2 — Fournisseur alternatif,0.97,17.0,-3.5,0.8383,0.0351,0.5613,False,0.4,0.35,0.25
SIM-0003-S3,3,ANO-0090,2024-06-25 22:57,Casablanca Port,S3 — Redistribution stock,-1.89,-13.8,-32.5,1.3156,0.3254,0.9302,True,0.4,0.35,0.25
SIM-0004-S1,4,ANO-0044,2024-12-04 19:03,Khouribga,S1 — Attendre,2.09,-0.5,23.0,0.6519,-0.2301,0.4315,False,0.4,0.35,0.25
SIM-0004-S2,4,ANO-0044,2024-12-04 19:03,Khouribga,S2 — Fournisseur alternatif,0.79,17.1,-0.9,0.8681,0.0087,0.5637,False,0.4,0.35,0.25
SIM-0004-S3,4,ANO-0044,2024-12-04 19:03,Khouribga,S3 — Redistribution stock,-1.87,-16.5,-25.7,1.3121,0.2568,0.9139,True,0.4,0.35,0.25
SIM-0005-S1,5,ANO-0065,2024-08-02 10:41,Jorf Lasfar,S1 — Attendre,5.79,2.3,24.3,0.0351,-0.2427,0.1735,False,0.4,0.35,0.25
SIM-0005-S2,5,ANO-0065,2024-08-02 10:41,Jorf Lasfar,S2 — Fournisseur alternatif,-0.02,20.6,3.9,1.0031,-0.0385,0.5951,False,0.4,0.35,0.25
SIM-0005-S3,5,ANO-0065,2024-08-02 10:41,Jorf Lasfar,S3 — Redistribution stock,-0.03,-17.8,-33.2,1.0046,0.3322,0.8224,True,0.4,0.35,0.25
SIM-0006-S1,6,ANO-0173,2025-02-22 04:25,Casablanca Port,S1 — Attendre,3.22,-2.7,26.0,0.4636,-0.2597,0.3514,False,0.4,0.35,0.25
SIM-0006-S2,6,ANO-0173,2025-02-22 04:25,Casablanca Port,S2 — Fournisseur alternatif,0.02,16.1,0.3,0.9973,-0.0033,0.6131,False,0.4,0.35,0.25
SIM-0006-S3,6,ANO-0173,2025-02-22 04:25,Casablanca Port,S3 — Redistribution stock,-0.04,-14.1,-27.1,1.0066,0.2706,0.7885,True,0.4,0.35,0.25
SIM-0007-S1,7,ANO-0194,2024-02-11 03:26,Casablanca Port,S1 — Attendre,3.43,-3.8,29.5,0.4278,-0.2955,0.3276,False,0.4,0.35,0.25
SIM-0007-S2,7,ANO-0194,2024-02-11 03:26,Casablanca Port,S2 — Fournisseur alternatif,0.23,17.9,-0.4,0.962,0.0039,0.5982,False,0.4,0.35,0.25
SIM-0007-S3,7,ANO-0194,2024-02-11 03:26,Casablanca Port,S3 — Redistribution stock,-0.53,-17.5,-31.0,1.0891,0.3098,0.8472,True,0.4,0.35,0.25
SIM-0008-S1,8,ANO-0047,2024-05-19 07:09,Laayoune,S1 — Attendre,2.12,4.3,24.6,0.647,-0.2457,0.4125,False,0.4,0.35,0.25
SIM-0008-S2,8,ANO-0047,2024-05-19 07:09,Laayoune,S2 — Fournisseur alternatif,-0.34,11.4,-6.9,1.0561,0.0693,0.6711,False,0.4,0.35,0.25
SIM-0008-S3,8,ANO-0047,2024-05-19 07:09,Laayoune,S3 — Redistribution stock,-0.6,-13.1,-27.9,1.0997,0.2793,0.8255,True,0.4,0.35,0.25
SIM-0009-S1,9,ANO-0122,2024-10-23 03:46,Casablanca Port,S1 — Attendre,2.55,-1.6,11.9,0.5743,-0.1192,0.442,False,0.4,0.35,0.25
SIM-0009-S2,9,ANO-0122,2024-10-23 03:46,Casablanca Port,S2 — Fournisseur alternatif,-0.29,20.6,2.6,1.0483,-0.0258,0.6176,False,0.4,0.35,0.25
SIM-0009-S3,9,ANO-0122,2024-10-23 03:46,Casablanca Port,S3 — Redistribution stock,-1.0,-18.2,-34.0,1.1668,0.3398,0.8911,True,0.4,0.35,0.25
SIM-0010-S1,10,ANO-0166,2024-06-25 00:52,Benguerir,S1 — Attendre,4.53,-1.6,25.0,0.2447,-0.2504,0.2643,False,0.4,0.35,0.25
SIM-0010-S2,10,ANO-0166,2024-06-25 00:52,Benguerir,S2 — Fournisseur alternatif,0.05,10.3,-2.9,0.992,0.0288,0.6335,False,0.4,0.35,0.25
SIM-0010-S3,10,ANO-0166,2024-06-25 00:52,Benguerir,S3 — Redistribution stock,-0.04,-19.4,-34.4,1.006,0.344,0.833,True,0.4,0.35,0.25
SIM-0011-S1,11,ANO-0136,2024-05-10 21:18,Khouribga,S1 — Attendre,2.05,-1.7,16.1,0.6583,-0.1613,0.4613,False,0.4,0.35,0.25
SIM-0011-S2,11,ANO-0136,2024-05-10 21:18,Khouribga,S2 — Fournisseur alternatif,0.6,18.5,-7.5,0.9,0.075,0.5972,False,0.4,0.35,0.25
SIM-0011-S3,11,ANO-0136,2024-05-10 21:18,Khouribga,S3 — Redistribution stock,-1.86,-18.3,-30.5,1.3102,0.3045,0.9366,True,0.4,0.35,0.25
SIM-0012-S1,12,ANO-0138,2025-01-21 23:08,Youssoufia,S1 — Attendre,2.87,-1.5,27.4,0.5211,-0.2744,0.3663,False,0.4,0.35,0.25
SIM-0012-S2,12,ANO-0138,2025-01-21 23:08,Youssoufia,S2 — Fournisseur alternatif,0.83,19.0,-3.5,0.8625,0.0352,0.5674,False,0.4,0.35,0.25
SIM-0012-S3,12,ANO-0138,2025-01-21 23:08,Youssoufia,S3 — Redistribution stock,-0.22,-12.9,-26.8,1.0362,0.268,0.7954,True,0.4,0.35,0.25
SIM-0013-S1,13,ANO-0039,2024-05-17 20:41,Jorf Lasfar,S1 — Attendre,5.26,-0.5,22.4,0.1238,-0.2244,0.2223,False,0.4,0.35,0.25
SIM-0013-S2,13,ANO-0039,2024-05-17 20:41,Jorf Lasfar,S2 — Fournisseur alternatif,0.87,23.3,0.9,0.8549,-0.0087,0.5416,False,0.4,0.35,0.25
SIM-0013-S3,13,ANO-0039,2024-05-17 20:41,Jorf Lasfar,S3 — Redistribution stock,-1.76,-10.7,-26.0,1.2932,0.2597,0.888,True,0.4,0.35,0.25
SIM-0014-S1,14,ANO-0175,2024-03-24 17:04,Benguerir,S1 — Attendre,2.72,0.2,28.0,0.5464,-0.28,0.3701,False,0.4,0.35,0.25
SIM-0014-S2,14,ANO-0175,2024-03-24 17:04,Benguerir,S2 — Fournisseur alternatif,-0.0,19.1,4.9,1.0008,-0.0495,0.593,False,0.4,0.35,0.25
SIM-0014-S3,14,ANO-0175,2024-03-24 17:04,Benguerir,S3 — Redistribution stock,-0.16,-10.6,-26.1,1.0267,0.2607,0.7816,True,0.4,0.35,0.25
SIM-0015-S1,15,ANO-0100,2025-03-01 15:05,Laayoune,S1 — Attendre,5.14,4.4,23.4,0.144,-0.2337,0.2151,False,0.4,0.35,0.25
SIM-0015-S2,15,ANO-0100,2025-03-01 15:05,Laayoune,S2 — Fournisseur alternatif,-0.87,13.7,-12.2,1.1448,0.1217,0.7204,False,0.4,0.35,0.25
